Theme	Layer Name	Subject Keyword	Location Key	URL
Recreation	Recreational Uses Workshop: DE	Recreational Uses	Mid Atlantic	
Recreation	Recreational Uses Workshop: MD	Recreational Uses	Mid Atlantic	
Recreation	NJ Recreational Uses Workshop	Recreational Uses	Mid Atlantic	
Recreation	NJDEP Sport Ocean Fishing Grounds	Fishing Grounds	Mid Atlantic	
Recreation	NY Recreational Fishing	Recreational Fishing	Mid Atlantic	
Recreation	NY Surfing	Surfing	Mid Atlantic	
Recreation	NY Wildlife Viewing	Wildlife Viewing	Mid Atlantic	
Recreation	Recreational Uses Workshop: VA	Recreational Uses	Mid Atlantic	
				
Oceanography	Acidification Monitoring Locations	Ocean Acidification	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=ocean%20acidification&geo=Mid%20Atlantic
Oceanography	Regional Bathymetry	Regional Bathymetry	Mid Atlantic	
Oceanography	NOAA NOS Hydrographic Survey Data	Hydrographic Survey	Mid Atlantic	
Oceanography	OKEANOS Explorer Bathymetry	OKEANOS	Mid Atlantic	
Oceanography	Fronts Fall Max 2012	Fronts	Mid Atlantic	
Oceanography	Fronts Fall Max 2013	Fronts	Mid Atlantic	
Oceanography	Fronts Spring Max 2012	Fronts	Mid Atlantic	
Oceanography	Fronts Spring Max 2013	Fronts	Mid Atlantic	
Oceanography	Fronts Summer Max 2012	Fronts	Mid Atlantic	
Oceanography	Fronts Summer Max 2013	Fronts	Mid Atlantic	
Oceanography	Fronts Winter Max 2012	Fronts	Mid Atlantic	
Oceanography	Fronts Winter Max 2013	Fronts	Mid Atlantic	
Oceanography	NPP Fall Max 2011	Primary productivity	Mid Atlantic	
Oceanography	NPP Fall Max 2012	Primary productivity	Mid Atlantic	
Oceanography	NPP Fall Max 2013	Primary productivity	Mid Atlantic	
Oceanography	NPP Spring Max 2011	Primary productivity	Mid Atlantic	
Oceanography	NPP Spring Max 2012	Primary productivity	Mid Atlantic	
Oceanography	NPP Spring Max 2013	Primary productivity	Mid Atlantic	
Oceanography	NPP Summer Max 2011	Primary productivity	Mid Atlantic	
Oceanography	NPP Summer Max 2012	Primary productivity	Mid Atlantic	
Oceanography	NPP Summer Max 2013	Primary productivity	Mid Atlantic	
Oceanography	NPP Winter Max 2011	Primary productivity	Mid Atlantic	
Oceanography	NPP Winter Max 2012	Primary productivity	Mid Atlantic	
Oceanography	NPP Winter Max 2013	Primary productivity	Mid Atlantic	
Oceanography	Seabed Forms	Seabed	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=seabed&geo=Mid%20Atlantic
Oceanography	Soft Sediments (by grain size)	Soft Sediments	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=soft%20sediments&geo=Mid%20Atlantic
Oceanography	Submarine Canyons	Submarine Canyon	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=submarine%20canyon&geo=Mid%20Atlantic
				
Administrative	Federal OCS Administrative Boundaries	No relevant links		
Administrative	Marine Jurisdictions	No relevant links		
Administrative	Northeast Canyons and Seamounts Marine National Monument	No relevant links		
Administrative	OCS Lease Blocks	No relevant links		
Administrative	Tribal Headquarters	Native American	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=native%20american&geo=Mid%20Atlantic
				
Marine Life	Benthic Habitats (North)	benthic habitat	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=benthic%20habitat&geo=Mid%20Atlantic
Marine Life	Benthic Habitats (South)	benthic habitat	Mid Atlantic	
Marine Life	Birds	bird	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=bird&geo=Mid%20Atlantic
Marine Life	Coldwater Corals (Observed)	coral	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=coral&geo=Mid%20Atlantic
Marine Life	EFH Highly Migratory Species	highly migratory species	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=highly%20migratory%20species&geo=Mid%20Atlantic
Marine Life	Essential Fish Habitats	essential fish habitat	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=essential%20fish%20habitat&geo=Mid%20Atlantic
Marine Life	Fish	fish biomass	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=fish%20biomass&geo=Mid%20Atlantic
Marine Life	Habitat for Soft Corals (Modeled)	coral	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=coral&geo=Mid%20Atlantic
Marine Life	Marine Mammals	marine mammals	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=marine%20mammals&geo=Mid%20Atlantic
Marine Life	Sea Scallops Average Abundance (SMAST)	sea scallops	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=sea%20scallops&geo=Mid%20Atlantic
Marine Life	Sea Scallops Biomass, meat weight in kg (NEFSC) - Draft	sea scallops	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=sea%20scallops&geo=Mid%20Atlantic
Marine Life	Sea Turtles	sea turtles	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=sea%20turtles&geo=Mid%20Atlantic
				
Socioeconomic	Population Density	No relevant links		
Socioeconomic	Ocean Economics GDP	economics	Mid Atlantic	https://marinecadastre.gov/espis/#/search/txt=economics&geo=Mid%20Atlantic
				
Human Use Data Synthesis	All Data	No relevant links		
Human Use Data Synthesis	Theme - Energy Data	No relevant links		
Human Use Data Synthesis	Theme - Fishing Data	No relevant links		
Human Use Data Synthesis	Theme - Maritime Data	No relevant links		
Human Use Data Synthesis	Theme - Recreation Data	No relevant links		
Human Use Data Synthesis	Theme - Security Data	No relevant links		
Human Use Data Synthesis	Type - Activity Data	No relevant links		
Human Use Data Synthesis	Type - Infrastructure Data	No relevant links		
Human Use Data Synthesis	Type - Physical Infrastructure Data	No relevant links		
Human Use Data Synthesis	Type - Regulatory Data	No relevant links		
Human Use Data Synthesis	Use Intensity - Fishing Data	No relevant links		
Human Use Data Synthesis	Use Intensity - Maritime Data	No relevant links		
